Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
Accenture,PQ,Canada,NULL,S7,175000,98,180,20,2021,3000
Wipro,XX,India,NULL,S4,200000,74,150,35,2021,7000
IBM,XY,India,ITandInfrastructure,S2,200000,96,210,30,2018,10000
HCL,XX,Canada,administration,NULL,200000,81,135,50,2018,5000
IBM,AB,UAE,Finance,S1,165000,86,270,20,2022,8000
Wipro,XY,India,testing,S2,200000,73,270,25,2019,10000
Genpact,XY,Germany,consulting,S5,150000,73,150,15,2020,3000
Genpact,XX,Canada,HR,S6,100000,85,180,40,2018,5000
HCL,NN,Germany,testing,S1,115000,89,270,25,2017,9000
Wipro,NULL,India,ITandInfrastructure,S4,115000,88,210,20,2021,5000
Infosys,AB,UAE,ITandInfrastructure,S5,200000,76,135,25,2017,5000
HCL,XX,Australia,HR,S4,125000,85,210,20,2022,8000
HCL,PQ,UK,Finance,S7,165000,99,135,35,2018,10000
Wipro,BC,Canada,administration,S5,125000,76,150,35,2022,10000
IBM,BC,India,administration,S4,200000,83,180,40,2021,7000
IBM,NN,India,Finance,S6,175000,86,180,30,2022,5000
Accenture,LM,Japan,NULL,S5,200000,71,210,35,2020,8000
Capgemini,AB,UK,ITandInfrastructure,S5,150000,90,270,15,2019,3000
Zogho,XX,Japan,Finance,S7,100000,88,180,25,2017,3000
Accenture,LM,US,testing,S2,150000,99,210,40,2019,3000
TATA,XY,UK,consulting,S1,115000,93,100,45,2017,7000
Wipro,XX,Canada,consulting,S5,100000,92,135,20,2017,8000
Capgemini,XX,Canada,ITandInfrastructure,S1,115000,78,210,40,2016,5000
Capgemini,LM,Australia,testing,S7,125000,96,150,25,2018,9000
Capgemini,XX,Australia,RandD,S7,115000,85,100,30,2020,10000
Oracle,LM,UAE,ITandInfrastructure,S6,175000,81,150,45,2020,8000
HCL,XY,India,testing,S1,150000,71,100,30,2021,8000
IBM,NULL,US,Finance,S1,115000,82,135,45,2022,8000
HCL,LM,UAE,Finance,S6,165000,89,180,20,2021,8000
Wipro,NN,Germany,testing,S5,175000,88,180,20,2020,5000
Oracle,NULL,US,consulting,S3,175000,97,120,30,2017,5000
Genpact,NN,France,consulting,S6,125000,90,150,40,2021,7000
TATA,LM,UK,Finance,S2,115000,76,120,45,2019,9000
Oracle,XY,Australia,ITandInfrastructure,S6,200000,90,150,15,2021,3000
Capgemini,AB,Germany,administration,S3,125000,71,270,40,2018,5000
IBM,XY,Germany,consulting,S2,115000,71,100,25,2017,5000
Genpact,LM,Australia,HR,S2,165000,83,150,50,2016,3000
Zogho,LM,France,administration,S4,150000,93,210,35,2021,6000
Zogho,AB,UAE,NULL,S3,100000,99,150,45,2022,6000
Wipro,XY,UK,RandD,S5,165000,72,135,15,2016,7000
Accenture,XY,Australia,ITandInfrastructure,NULL,100000,84,120,30,2016,5000
Accenture,LM,Canada,Finance,S1,100000,77,210,45,2021,8000
Infosys,XY,US,RandD,S1,125000,91,120,15,2022,10000
IBM,NN,Australia,HR,S2,150000,81,210,35,2018,6000
Capgemini,LM,Australia,RandD,S6,200000,82,270,20,2017,10000
Infosys,NULL,Japan,consulting,S6,125000,81,180,25,2016,4000
Accenture,XY,India,HR,S7,165000,88,150,30,2022,8000
Infosys,PQ,Japan,RandD,S2,115000,80,180,25,2019,7000
Capgemini,XY,India,administration,S5,175000,99,210,45,2022,7000
Oracle,NN,US,testing,S1,125000,84,100,40,2022,7000
Infosys,XX,Germany,testing,S1,150000,99,210,50,2019,9000
HCL,NN,India,ITandInfrastructure,S3,200000,82,150,35,2021,8000
Wipro,XX,Australia,HR,S4,175000,75,100,30,2017,3000
Wipro,XY,Japan,consulting,S2,125000,93,180,45,2018,7000
Zogho,NULL,Japan,testing,S7,115000,74,150,25,2016,10000
HCL,AB,UAE,Finance,S5,125000,96,150,15,2020,6000
Zogho,PQ,France,ITandInfrastructure,S5,200000,76,180,15,2018,4000
Capgemini,AB,Australia,administration,NULL,200000,99,120,35,2017,5000
Zogho,AB,Japan,consulting,S7,200000,98,270,30,2020,4000
Oracle,NN,Australia,ITandInfrastructure,NULL,165000,76,270,30,2021,6000
TATA,PQ,Canada,ITandInfrastructure,S2,200000,83,120,20,2018,9000
IBM,LM,Australia,ITandInfrastructure,S2,115000,93,180,35,2019,6000
Capgemini,NN,India,NULL,S4,100000,95,270,50,2022,3000
Genpact,NULL,Japan,HR,S5,150000,88,180,15,2019,7000
HCL,LM,UK,ITandInfrastructure,S7,150000,80,100,50,2016,9000
IBM,AB,UK,RandD,S2,115000,86,150,50,2021,4000
TATA,NN,Canada,administration,S4,125000,84,135,30,2016,7000
Infosys,BC,Japan,Finance,NULL,125000,74,135,25,2019,10000
TATA,NN,US,ITandInfrastructure,NULL,165000,79,150,50,2022,5000
HCL,NULL,India,RandD,S3,125000,71,180,40,2019,4000
Genpact,LM,UAE,administration,S2,200000,86,120,50,2018,10000
Accenture,NN,India,HR,NULL,200000,94,135,50,2021,6000
Oracle,PQ,Japan,administration,S1,125000,96,150,25,2022,9000
TATA,LM,UAE,HR,NULL,175000,73,135,30,2017,5000
Capgemini,PQ,Germany,Finance,S1,150000,83,135,20,2021,3000
TATA,LM,France,RandD,S7,125000,70,100,40,2021,8000
Accenture,LM,Germany,HR,S3,100000,81,210,50,2017,4000
Accenture,NN,Germany,consulting,S2,115000,74,270,50,2020,3000
HCL,XY,UK,NULL,S5,150000,87,135,45,2016,8000
Accenture,PQ,UAE,HR,S1,200000,95,270,50,2021,7000
Accenture,XY,US,ITandInfrastructure,S1,150000,88,120,45,2021,6000
Infosys,AB,India,testing,S5,150000,75,180,45,2017,8000
Capgemini,BC,Japan,Finance,S2,175000,81,150,25,2021,5000
TATA,NULL,India,NULL,S2,125000,77,180,25,2018,5000
Infosys,PQ,Germany,ITandInfrastructure,S1,165000,76,150,25,2022,4000
Accenture,BC,Germany,RandD,S2,150000,83,150,50,2019,6000
Oracle,PQ,Canada,NULL,S1,150000,91,270,30,2016,6000
Oracle,PQ,Japan,administration,S5,175000,98,180,50,2022,5000
Zogho,XX,UAE,ITandInfrastructure,S7,175000,97,180,25,2016,10000
HCL,BC,Germany,NULL,S6,150000,78,120,45,2020,9000
Zogho,NN,Australia,NULL,NULL,115000,79,100,15,2016,8000
Infosys,BC,Japan,administration,S6,100000,78,100,50,2017,4000
IBM,NN,France,testing,S1,175000,94,180,40,2017,7000
IBM,AB,Japan,testing,S1,125000,99,120,50,2020,3000
TATA,NULL,India,NULL,S6,125000,96,210,50,2016,6000
IBM,BC,US,RandD,S5,115000,70,150,35,2016,10000
Accenture,NN,UK,Finance,S3,200000,77,270,45,2016,3000
Zogho,XX,Australia,HR,S4,200000,89,120,25,2022,8000
HCL,LM,India,Finance,S6,125000,70,100,45,2017,4000
Zogho,XX,India,RandD,S7,165000,90,270,25,2019,10000
TATA,BC,US,administration,S7,115000,75,100,50,2016,8000
Genpact,PQ,Australia,NULL,S6,115000,85,135,40,2018,10000
HCL,NN,Japan,HR,NULL,150000,72,180,40,2022,9000
IBM,LM,Japan,consulting,S3,165000,100,100,25,2017,4000
Infosys,BC,UAE,Finance,S2,200000,97,210,20,2019,4000
Zogho,LM,Canada,testing,NULL,165000,86,210,20,2019,5000
Wipro,LM,Australia,HR,S1,100000,70,150,35,2020,10000
TATA,AB,UAE,RandD,S5,100000,89,100,20,2016,8000
Accenture,PQ,Germany,administration,S4,175000,90,150,40,2016,5000
IBM,AB,UK,NULL,NULL,125000,90,270,40,2020,10000
Oracle,PQ,France,administration,S6,115000,93,270,40,2016,8000
HCL,LM,India,HR,S3,165000,82,180,50,2021,9000
Wipro,AB,Canada,consulting,S7,125000,88,100,40,2018,7000
TATA,XX,India,consulting,S2,125000,99,120,35,2021,10000
Wipro,NN,Japan,HR,S2,150000,92,270,20,2019,5000
IBM,LM,UK,HR,S3,115000,76,100,35,2022,6000
TATA,BC,France,NULL,S4,125000,94,100,35,2018,9000
Capgemini,LM,India,administration,S3,175000,81,100,30,2017,9000
Accenture,NULL,Canada,NULL,S1,115000,98,270,15,2021,5000
TATA,XY,Japan,RandD,S4,175000,71,180,40,2020,6000
TATA,BC,India,ITandInfrastructure,S3,125000,93,120,15,2016,3000
TATA,XX,UK,administration,S5,150000,70,150,20,2021,3000
Oracle,NULL,India,RandD,S1,115000,98,100,30,2016,8000
HCL,BC,US,consulting,S3,150000,78,180,35,2019,8000
Wipro,NULL,UAE,administration,S4,150000,84,210,40,2016,6000
Oracle,LM,UAE,Finance,S3,200000,70,135,25,2017,9000
IBM,NN,India,ITandInfrastructure,S4,125000,92,135,20,2021,8000
Infosys,BC,UAE,consulting,S2,175000,79,150,20,2016,8000
Infosys,XY,India,consulting,NULL,175000,86,180,35,2022,10000
Genpact,PQ,UAE,administration,S4,100000,71,210,30,2018,6000
Infosys,XY,France,ITandInfrastructure,S2,125000,92,180,15,2020,8000
Accenture,XX,France,RandD,S3,115000,78,100,15,2020,9000
Accenture,LM,Japan,RandD,S3,100000,98,270,25,2021,4000
IBM,NULL,Canada,RandD,S7,100000,74,135,30,2016,8000
Zogho,PQ,UK,HR,S2,200000,75,210,35,2022,6000
Accenture,XX,UK,ITandInfrastructure,S2,200000,95,210,25,2020,7000
IBM,XX,UAE,Finance,S4,165000,77,270,30,2020,5000
Wipro,PQ,Canada,Finance,S6,165000,73,180,20,2019,4000
Accenture,PQ,Japan,ITandInfrastructure,S1,115000,100,150,40,2022,9000
Capgemini,NN,Canada,administration,NULL,150000,92,120,30,2016,10000
TATA,LM,Japan,Finance,S3,175000,99,150,20,2022,10000
TATA,LM,Japan,administration,S3,115000,88,120,35,2021,10000
TATA,XX,Japan,RandD,S7,150000,73,270,25,2019,6000
Oracle,PQ,India,testing,S4,150000,100,270,20,2021,8000
Genpact,BC,Japan,ITandInfrastructure,S7,100000,92,210,50,2016,6000
Oracle,NULL,Japan,HR,S4,100000,72,210,20,2016,3000
Oracle,AB,Germany,testing,S3,125000,72,180,40,2018,5000
HCL,LM,US,Finance,S3,165000,99,180,20,2021,7000
Wipro,NN,Germany,RandD,S5,100000,70,180,50,2018,10000
HCL,LM,Japan,Finance,S3,175000,97,180,30,2018,10000
TATA,NULL,Germany,testing,S7,100000,95,150,35,2021,5000
HCL,XY,France,testing,S2,165000,83,135,50,2017,7000
Capgemini,NULL,US,HR,S4,150000,76,100,15,2018,5000
HCL,XY,Germany,ITandInfrastructure,S5,115000,76,100,25,2019,8000
TATA,NULL,Japan,HR,S7,115000,96,120,45,2022,6000
Wipro,AB,UAE,NULL,S4,150000,93,180,30,2021,6000
HCL,PQ,Germany,administration,S7,115000,88,270,30,2020,7000
Infosys,AB,India,consulting,S5,100000,95,150,25,2016,8000
Wipro,XX,Canada,NULL,S7,165000,87,100,40,2020,5000
IBM,PQ,UK,consulting,S5,125000,100,150,15,2021,7000
TATA,PQ,Japan,NULL,S5,165000,82,120,25,2020,3000
Wipro,NN,Australia,RandD,S6,200000,96,135,50,2022,10000
Capgemini,XX,UK,ITandInfrastructure,NULL,165000,74,180,50,2017,6000
Capgemini,AB,India,NULL,S5,100000,88,120,20,2016,9000
Oracle,XX,India,Finance,S5,200000,96,270,45,2019,4000
TATA,NN,US,Finance,S5,150000,73,210,15,2022,9000
Oracle,AB,UAE,HR,S3,125000,81,100,20,2018,6000
HCL,NN,Canada,HR,S1,175000,76,180,45,2021,7000
Zogho,PQ,India,NULL,NULL,115000,73,270,20,2019,3000
TATA,NN,India,administration,S3,125000,94,150,40,2019,3000
Accenture,LM,US,RandD,S1,100000,90,180,20,2016,5000
TATA,AB,Canada,consulting,S7,150000,83,100,25,2019,7000
Accenture,NN,Germany,RandD,S1,115000,77,270,15,2021,10000
Accenture,LM,Germany,administration,S4,150000,86,210,50,2019,10000
Accenture,XY,Australia,HR,S4,125000,95,180,15,2018,6000
Accenture,AB,India,NULL,S3,125000,70,100,45,2021,3000
Capgemini,XY,Australia,consulting,S6,125000,74,180,50,2017,5000
Zogho,XX,Australia,ITandInfrastructure,S4,175000,74,100,35,2018,5000
IBM,NULL,Germany,Finance,S1,165000,74,100,30,2018,8000
HCL,XX,UAE,consulting,S1,125000,100,270,50,2020,5000
HCL,XY,US,Finance,NULL,165000,76,210,15,2016,5000
Oracle,BC,US,ITandInfrastructure,S4,115000,92,120,15,2016,9000
IBM,XX,Japan,ITandInfrastructure,NULL,150000,74,120,25,2017,5000
Zogho,NN,Canada,consulting,NULL,125000,93,100,20,2020,4000
Oracle,NULL,US,consulting,S2,165000,90,210,45,2016,3000
Wipro,NULL,France,consulting,S2,165000,100,100,35,2022,10000
Accenture,NULL,UAE,administration,S2,150000,92,210,35,2017,3000
Accenture,BC,India,Finance,S6,115000,72,180,45,2018,5000
HCL,LM,UK,consulting,NULL,150000,83,100,15,2020,4000
Infosys,LM,India,ITandInfrastructure,S7,165000,92,180,35,2017,3000
Accenture,AB,Germany,RandD,S6,200000,98,150,45,2018,4000
Capgemini,LM,Canada,consulting,S1,165000,74,210,30,2016,8000
IBM,AB,India,administration,S4,100000,94,270,35,2018,10000
TATA,XY,US,consulting,S4,150000,82,120,45,2018,7000
HCL,NN,UAE,ITandInfrastructure,S5,100000,88,150,35,2016,9000
HCL,BC,UAE,consulting,S6,175000,91,270,45,2018,5000
Accenture,LM,Germany,administration,S2,200000,94,180,35,2019,4000
Zogho,NULL,Canada,ITandInfrastructure,NULL,100000,73,270,40,2016,8000
Infosys,LM,UK,administration,S3,165000,94,100,25,2021,8000
Zogho,NN,Japan,consulting,S7,115000,90,180,40,2017,5000
IBM,NULL,US,ITandInfrastructure,S2,175000,73,135,40,2021,5000
Zogho,NULL,India,RandD,S6,150000,90,210,40,2018,6000
Zogho,AB,Japan,Finance,S7,115000,76,120,50,2020,6000
Wipro,XY,US,ITandInfrastructure,S4,115000,74,270,35,2018,7000
Genpact,BC,Canada,administration,S4,115000,91,180,40,2021,5000
Oracle,AB,US,administration,S7,125000,84,180,50,2016,4000
Zogho,NULL,Australia,NULL,S3,125000,93,150,20,2022,6000
Oracle,NULL,France,HR,S6,115000,70,150,30,2019,8000
IBM,NN,UAE,testing,S1,175000,98,270,15,2019,4000
Genpact,LM,US,ITandInfrastructure,S2,150000,84,210,35,2018,8000
Oracle,XX,US,NULL,NULL,100000,72,150,35,2018,9000
Zogho,NN,Canada,Finance,S5,150000,91,120,35,2022,8000
Wipro,XX,Canada,testing,NULL,115000,77,135,40,2020,5000
Capgemini,NULL,Canada,consulting,S5,175000,98,180,25,2022,8000
Wipro,AB,Australia,RandD,S4,175000,80,135,15,2016,6000
Capgemini,NN,Canada,HR,S5,125000,84,180,30,2018,7000
Capgemini,NN,France,administration,S3,125000,71,135,30,2017,7000
IBM,XY,Australia,HR,S6,165000,73,210,40,2016,9000
HCL,LM,UAE,HR,S1,100000,73,180,25,2017,8000
Accenture,NULL,Japan,ITandInfrastructure,S5,125000,95,120,30,2020,9000
Genpact,PQ,France,HR,S4,200000,73,150,35,2021,10000
TATA,NN,Canada,ITandInfrastructure,S5,165000,85,210,25,2022,4000
Wipro,XX,India,RandD,S6,165000,79,270,15,2017,9000
Infosys,LM,Australia,NULL,S6,200000,87,120,25,2018,5000
Oracle,XX,Australia,Finance,S1,125000,98,100,45,2019,9000
Infosys,NN,Japan,Finance,S5,165000,97,135,20,2019,6000
TATA,BC,Australia,NULL,NULL,150000,98,270,45,2020,8000
Oracle,XX,UK,testing,S3,200000,75,120,35,2020,10000
Wipro,PQ,US,HR,S6,150000,82,120,35,2019,8000
Zogho,XX,UK,HR,S3,100000,79,180,40,2021,8000
Zogho,AB,UAE,administration,S1,150000,89,100,20,2022,10000
Capgemini,XX,Japan,NULL,S4,165000,99,270,50,2021,3000
Infosys,AB,India,RandD,S7,125000,96,100,25,2019,10000
TATA,NN,Australia,HR,S7,100000,89,150,20,2022,4000
TATA,XX,Canada,consulting,S4,200000,84,135,50,2018,5000
Accenture,NULL,Japan,consulting,S7,100000,98,210,35,2019,7000
Zogho,XY,US,consulting,S4,125000,75,210,30,2016,9000
IBM,NN,Canada,ITandInfrastructure,S7,100000,77,150,30,2019,9000
IBM,AB,Canada,administration,S2,100000,78,135,50,2022,7000
HCL,LM,Australia,testing,S3,125000,85,100,25,2020,5000
Infosys,PQ,Australia,ITandInfrastructure,S7,200000,81,120,35,2021,6000
Wipro,AB,France,consulting,S4,175000,73,210,30,2020,7000
Wipro,AB,UAE,administration,S5,165000,99,120,35,2017,3000
Zogho,LM,India,HR,NULL,125000,80,150,35,2021,7000
Zogho,BC,India,testing,S4,165000,73,270,35,2021,6000
Genpact,NN,Japan,RandD,S4,165000,76,180,35,2020,9000
Wipro,NULL,UAE,ITandInfrastructure,S2,200000,79,270,50,2022,10000
IBM,PQ,Germany,consulting,S6,125000,85,100,30,2016,5000
Capgemini,AB,UK,HR,S4,150000,97,150,35,2020,8000
Oracle,XY,Australia,ITandInfrastructure,S3,115000,88,210,20,2022,8000
Genpact,LM,Australia,Finance,S5,175000,100,135,20,2021,5000
Oracle,NULL,Australia,NULL,S3,175000,84,120,50,2019,8000
Accenture,BC,France,RandD,S4,100000,86,270,45,2021,6000
Wipro,XY,Germany,Finance,S5,200000,76,180,15,2019,3000
IBM,XY,Germany,testing,S5,200000,85,210,25,2016,5000
Zogho,AB,UK,Finance,S2,150000,72,150,50,2016,7000
IBM,BC,Canada,consulting,S5,200000,100,120,50,2020,9000
Accenture,NN,UK,HR,S4,165000,85,100,50,2016,5000
TATA,BC,Australia,NULL,S1,115000,95,135,45,2016,8000
Genpact,NULL,France,ITandInfrastructure,S7,200000,97,135,25,2016,3000
Oracle,PQ,France,RandD,S7,150000,79,180,40,2022,5000
Capgemini,AB,Japan,Finance,NULL,150000,72,210,45,2019,7000
TATA,PQ,Australia,consulting,S2,125000,96,270,40,2017,10000
Wipro,NULL,France,NULL,S1,200000,87,135,40,2017,4000
TATA,NN,Canada,NULL,NULL,150000,83,135,35,2020,6000
Capgemini,AB,France,HR,NULL,100000,87,270,50,2022,7000
Capgemini,XY,UK,consulting,S6,100000,86,210,15,2020,10000
Zogho,XX,Australia,consulting,S2,175000,74,270,40,2020,10000
HCL,NN,Japan,HR,S4,200000,82,100,45,2016,6000
IBM,PQ,Germany,administration,S1,115000,78,180,15,2016,5000
Infosys,BC,France,Finance,S1,200000,70,100,40,2019,3000
HCL,XY,France,testing,S6,125000,99,210,15,2022,9000
TATA,PQ,Japan,administration,S3,165000,74,150,35,2016,9000
Wipro,NN,Australia,HR,S5,165000,76,100,25,2022,3000
Capgemini,LM,France,testing,NULL,200000,90,210,50,2018,6000
Wipro,NN,UK,consulting,S3,175000,72,180,25,2020,3000
Accenture,NULL,Germany,administration,NULL,165000,74,120,35,2021,9000
Genpact,NN,UAE,administration,S5,100000,86,180,20,2018,5000
Oracle,LM,US,ITandInfrastructure,S6,150000,90,180,35,2021,10000
Infosys,NULL,Japan,administration,S1,175000,76,210,20,2017,9000
TATA,XY,Australia,administration,S7,150000,94,120,15,2019,4000
Infosys,BC,India,Finance,S2,200000,76,270,45,2017,9000
HCL,AB,Japan,HR,S1,100000,94,210,20,2016,9000
Wipro,NN,France,NULL,S1,100000,73,210,40,2018,7000
Wipro,BC,Canada,consulting,S4,165000,84,150,15,2019,5000
Infosys,PQ,UK,administration,S6,200000,93,180,25,2022,7000
Capgemini,AB,India,ITandInfrastructure,NULL,125000,81,180,45,2021,5000
Genpact,PQ,UAE,administration,NULL,125000,81,120,30,2016,9000
Infosys,PQ,Germany,Finance,S3,125000,78,135,15,2017,4000
TATA,XX,Japan,HR,S2,125000,87,210,20,2021,10000
Accenture,AB,India,HR,S6,125000,77,120,40,2019,10000
Genpact,NULL,France,NULL,S6,125000,82,210,20,2021,8000
IBM,NULL,UAE,consulting,S6,175000,93,180,25,2019,7000
Capgemini,XX,India,RandD,S6,150000,78,270,50,2022,7000
TATA,NULL,India,ITandInfrastructure,S5,100000,78,120,30,2020,10000
HCL,LM,Canada,HR,S5,150000,89,135,15,2019,4000
Genpact,BC,UK,consulting,S6,100000,99,180,20,2022,5000
Infosys,AB,Germany,consulting,S3,100000,79,270,40,2019,10000
IBM,BC,France,administration,S6,100000,85,150,15,2019,7000
Capgemini,PQ,Germany,RandD,S2,115000,90,210,35,2016,8000
TATA,NULL,Canada,HR,S7,165000,72,180,20,2016,9000
Accenture,XY,India,consulting,S1,125000,70,210,30,2019,6000
HCL,NULL,Germany,HR,S1,200000,91,270,45,2022,7000
Oracle,XY,Germany,consulting,S2,175000,91,100,25,2020,4000
Zogho,PQ,Australia,testing,S5,175000,90,150,35,2016,10000
HCL,PQ,UAE,ITandInfrastructure,S4,115000,93,100,50,2019,9000
Accenture,XX,US,NULL,S6,125000,73,120,35,2018,10000
Infosys,AB,India,testing,S3,175000,91,135,30,2017,3000
Genpact,PQ,Japan,ITandInfrastructure,S1,100000,72,100,15,2016,10000
Zogho,XY,UK,testing,S3,100000,85,270,15,2021,6000
Oracle,XX,Japan,ITandInfrastructure,S4,200000,87,100,35,2022,6000
Genpact,XX,India,RandD,S3,125000,75,150,35,2021,10000
Genpact,PQ,Canada,RandD,S5,175000,73,120,35,2018,8000
Wipro,XX,France,consulting,NULL,175000,92,150,45,2016,9000
Infosys,NULL,UK,ITandInfrastructure,S4,100000,100,210,20,2019,7000
Wipro,XY,France,Finance,S2,165000,89,120,40,2016,4000
Zogho,PQ,Australia,NULL,S7,175000,83,150,40,2018,7000
Infosys,LM,Germany,administration,S1,165000,78,150,40,2020,7000
Capgemini,BC,France,administration,S1,115000,98,135,35,2019,8000
TATA,XY,UAE,Finance,S4,175000,90,135,20,2021,6000
HCL,BC,Australia,RandD,S1,165000,70,100,15,2021,8000
HCL,LM,US,RandD,S3,100000,98,210,20,2019,10000
HCL,BC,UK,ITandInfrastructure,S7,115000,93,135,40,2019,7000
Wipro,LM,India,administration,S7,150000,80,135,25,2022,9000
HCL,PQ,US,testing,S7,115000,100,100,25,2020,3000
Oracle,XX,Japan,Finance,S3,125000,88,210,45,2016,5000
Oracle,AB,Canada,consulting,S5,200000,93,270,45,2017,4000
IBM,AB,Germany,administration,S5,150000,71,270,30,2022,10000
Accenture,XY,Australia,NULL,S7,125000,90,120,15,2022,5000
Genpact,NULL,France,Finance,S7,200000,91,180,15,2021,3000
IBM,XX,France,consulting,S3,115000,88,135,20,2017,4000
HCL,NN,Canada,consulting,S5,115000,92,270,30,2022,10000
Genpact,XY,US,administration,S4,150000,82,100,30,2019,8000
HCL,XX,Japan,NULL,NULL,125000,89,150,30,2018,8000
Zogho,XX,UK,NULL,S2,200000,79,135,15,2019,4000
HCL,LM,Japan,testing,S1,200000,97,270,20,2020,5000
Infosys,BC,UK,testing,S7,150000,76,270,40,2018,4000
Wipro,NN,UAE,ITandInfrastructure,S3,150000,95,180,35,2016,6000
Capgemini,XX,US,ITandInfrastructure,S7,115000,99,270,30,2016,8000
Wipro,XX,Australia,RandD,S5,100000,99,270,50,2020,5000
TATA,BC,US,NULL,S7,175000,86,150,40,2016,8000
Capgemini,LM,Australia,NULL,S3,165000,90,135,40,2019,3000
Oracle,NN,Australia,HR,S2,125000,71,100,15,2017,4000
TATA,PQ,France,Finance,NULL,115000,70,135,50,2016,7000
Oracle,NN,Germany,NULL,S5,165000,82,210,35,2016,5000
Oracle,XX,UK,ITandInfrastructure,S2,125000,70,135,40,2020,3000
Wipro,NN,US,RandD,S4,200000,76,100,20,2017,7000
Oracle,AB,Australia,RandD,S2,175000,94,100,20,2016,7000
Wipro,AB,Japan,RandD,S6,125000,75,150,50,2020,5000
Genpact,NN,Germany,testing,S5,150000,76,135,15,2017,5000
Infosys,PQ,France,Finance,S1,165000,83,100,50,2021,6000
Capgemini,AB,France,HR,S6,200000,99,120,40,2022,4000
Accenture,BC,India,HR,S3,175000,81,210,25,2021,4000
Infosys,NULL,France,Finance,S6,100000,71,270,40,2020,10000
Genpact,LM,Japan,RandD,S2,100000,81,100,45,2019,4000
Accenture,NN,UK,consulting,S5,150000,73,135,25,2017,8000
HCL,PQ,UK,consulting,S4,165000,100,120,40,2021,10000
Accenture,BC,Japan,testing,S3,200000,86,120,20,2017,8000
Oracle,AB,India,ITandInfrastructure,S5,200000,78,270,30,2020,6000
Genpact,NULL,India,testing,S5,165000,76,180,25,2020,3000
Genpact,XY,UAE,RandD,S1,115000,96,120,40,2016,4000
Infosys,XX,France,Finance,S2,165000,76,150,40,2021,9000
Zogho,LM,India,consulting,S5,200000,82,150,45,2022,8000
Accenture,PQ,Germany,RandD,S5,115000,94,210,15,2018,6000
Wipro,AB,UK,RandD,S4,115000,88,150,45,2020,5000
Zogho,NULL,France,RandD,S2,200000,87,150,45,2020,10000
Infosys,NN,Canada,testing,S7,175000,85,180,25,2016,9000
TATA,AB,Japan,Finance,S6,150000,72,150,30,2019,7000
Genpact,AB,France,consulting,S6,175000,78,150,15,2021,9000
Capgemini,XX,India,testing,S5,150000,86,180,20,2022,8000
TATA,PQ,Canada,Finance,S3,165000,73,270,20,2020,7000
Genpact,AB,India,testing,S1,200000,82,100,35,2021,8000
IBM,XX,France,administration,S3,125000,77,150,25,2016,4000
Infosys,LM,Germany,RandD,S3,200000,94,180,15,2020,6000
Zogho,NN,UAE,Finance,S5,175000,95,180,25,2016,7000
Accenture,AB,Japan,HR,S4,200000,71,100,30,2018,7000
Infosys,PQ,Japan,testing,S6,165000,71,120,25,2018,7000
Zogho,AB,Canada,testing,S2,175000,74,135,40,2018,7000
Zogho,XX,Germany,administration,S3,165000,100,150,30,2018,6000
HCL,NN,UK,HR,S5,150000,89,150,45,2019,10000
Oracle,XY,US,NULL,S5,150000,86,210,30,2017,3000
Wipro,PQ,US,testing,NULL,165000,85,210,40,2020,10000
Wipro,NN,UK,Finance,S2,100000,77,180,50,2020,10000
Genpact,NN,Australia,NULL,S6,100000,96,135,45,2020,3000
Capgemini,XY,Japan,testing,NULL,165000,70,120,45,2021,4000
HCL,AB,UK,consulting,S2,175000,83,100,15,2017,5000
Capgemini,LM,Canada,HR,S6,115000,71,210,45,2019,4000
Capgemini,NULL,UK,administration,NULL,125000,84,270,15,2016,8000
Wipro,PQ,France,HR,S1,150000,71,135,20,2020,6000
Wipro,XX,Canada,Finance,S7,165000,71,180,45,2018,4000
Genpact,AB,UAE,ITandInfrastructure,NULL,115000,99,100,15,2020,5000
Oracle,NULL,India,consulting,S2,200000,81,135,35,2020,10000
Infosys,AB,Australia,administration,S5,200000,89,180,40,2016,6000
Genpact,XY,Canada,Finance,S1,175000,80,180,35,2022,4000
Accenture,NN,India,ITandInfrastructure,S6,165000,86,150,50,2019,6000
Oracle,BC,Canada,HR,S2,115000,98,100,50,2017,10000
Genpact,BC,India,testing,S4,200000,98,135,50,2022,9000
Wipro,PQ,UAE,consulting,S5,200000,100,270,45,2018,4000
HCL,NULL,France,testing,S6,175000,77,150,45,2020,9000
Infosys,LM,Australia,testing,NULL,175000,88,270,40,2020,6000
Infosys,NULL,UAE,HR,S3,150000,82,180,45,2021,5000
Capgemini,PQ,Japan,HR,S4,115000,93,270,45,2022,4000
Zogho,XX,Canada,testing,NULL,100000,77,135,30,2022,4000
Accenture,LM,UK,ITandInfrastructure,S1,150000,88,270,25,2018,9000
Zogho,XX,UAE,HR,S2,150000,74,135,15,2019,3000
Capgemini,NN,US,testing,S7,175000,90,270,35,2022,9000
IBM,NN,US,NULL,S3,100000,71,120,20,2018,8000
IBM,NULL,UAE,HR,NULL,115000,76,100,30,2021,6000
TATA,PQ,Germany,Finance,S1,150000,83,135,50,2017,4000
TATA,BC,UAE,ITandInfrastructure,S4,115000,80,180,45,2022,9000
Zogho,XY,India,RandD,S6,150000,98,270,20,2021,6000
