Supplier_Name,Region,Country,Functions,Service,Avg_Cost,Rating,Average_Delivery_Time,Number_of_Escalations,Years,Resources
HCL,XX,Germany,administration,S5,175000,79,270,40,2020,6000
Oracle,XY,UAE,HR,S2,100000,89,210,50,2018,8000
Wipro,XY,Germany,administration,S5,175000,76,180,30,2021,3000
Capgemini,LM,US,RandD,S7,200000,87,210,20,2021,8000
HCL,NN,US,ITandInfrastructure,S5,150000,100,210,15,2021,5000
Capgemini,AB,UK,HR,S6,200000,89,210,30,2017,3000
Zogho,PQ,Australia,RandD,S2,165000,99,210,45,2022,8000
TATA,BC,UK,administration,S6,150000,86,210,20,2021,4000
TATA,XX,Australia,HR,S4,100000,75,270,15,2020,4000
TATA,PQ,UK,consulting,S7,200000,87,100,25,2020,6000
Wipro,AB,UK,HR,NULL,165000,97,180,50,2021,3000
HCL,AB,Japan,ITandInfrastructure,S3,165000,92,270,40,2022,10000
Infosys,XX,Germany,testing,S2,125000,85,210,30,2022,10000
Capgemini,PQ,Japan,RandD,S1,175000,97,180,25,2018,7000
IBM,XX,Australia,ITandInfrastructure,S6,100000,84,210,45,2020,5000
Wipro,XX,UAE,NULL,S5,115000,94,180,30,2021,4000
Infosys,XX,France,NULL,S6,150000,98,120,45,2019,4000
Accenture,XY,Australia,HR,S2,100000,97,150,25,2022,8000
Accenture,LM,Australia,consulting,S7,165000,75,210,45,2016,10000
Capgemini,AB,Germany,RandD,S6,200000,97,210,30,2017,7000
Zogho,AB,France,RandD,S4,125000,77,180,20,2017,9000
Infosys,NN,Japan,RandD,S1,100000,87,135,35,2021,3000
Zogho,PQ,India,ITandInfrastructure,S6,200000,78,210,20,2016,8000
Wipro,XX,Germany,NULL,NULL,150000,92,270,50,2022,4000
HCL,BC,Japan,Finance,S2,175000,78,135,35,2019,3000
Wipro,NULL,UK,ITandInfrastructure,S1,175000,85,100,35,2019,10000
Infosys,LM,India,ITandInfrastructure,S1,200000,96,180,45,2018,9000
IBM,PQ,Canada,HR,S1,150000,97,270,25,2021,3000
IBM,PQ,Japan,Finance,S6,165000,70,135,15,2017,8000
Oracle,AB,Germany,ITandInfrastructure,S6,165000,85,180,50,2018,8000
Zogho,XY,France,administration,S1,125000,89,210,45,2021,8000
Capgemini,LM,India,RandD,S4,100000,89,180,35,2017,7000
Zogho,XX,UAE,HR,NULL,165000,81,150,15,2022,8000
IBM,PQ,Canada,HR,S1,175000,96,270,45,2021,6000
TATA,LM,UAE,RandD,S4,100000,76,180,40,2016,9000
Accenture,XY,India,administration,S7,165000,79,135,45,2016,8000
Genpact,NULL,UAE,HR,S7,150000,94,135,30,2019,6000
Oracle,NN,UK,Finance,S3,115000,77,100,50,2020,7000
HCL,XY,UAE,administration,S3,115000,77,150,45,2016,8000
Infosys,LM,Japan,HR,S5,115000,91,120,35,2021,6000
Oracle,AB,France,administration,S3,100000,75,135,30,2016,9000
Capgemini,XX,Germany,Finance,S1,150000,96,150,20,2020,6000
Oracle,LM,Australia,Finance,S1,150000,85,150,20,2020,4000
IBM,XY,Canada,administration,S6,125000,78,120,40,2020,5000
TATA,PQ,UAE,ITandInfrastructure,S4,175000,81,270,15,2018,3000
Oracle,BC,Germany,RandD,S6,115000,76,100,40,2020,3000
Accenture,LM,Japan,administration,S4,125000,75,135,30,2020,3000
TATA,NN,Australia,NULL,S7,100000,70,100,25,2017,6000
IBM,NULL,Australia,administration,S5,115000,97,180,50,2019,6000
TATA,PQ,India,Finance,S1,150000,76,120,30,2021,7000
IBM,XX,UAE,NULL,S4,165000,81,150,40,2018,7000
IBM,XY,UAE,RandD,NULL,200000,76,100,50,2018,5000
HCL,PQ,US,testing,S7,175000,92,100,50,2019,3000
Infosys,PQ,Germany,ITandInfrastructure,S5,100000,76,135,45,2021,6000
HCL,BC,France,testing,S1,100000,89,120,35,2021,10000
Infosys,BC,UK,ITandInfrastructure,S5,150000,78,135,40,2019,4000
Genpact,XY,UAE,consulting,S6,115000,93,270,50,2019,5000
Wipro,PQ,UAE,RandD,S5,165000,93,180,20,2016,7000
Oracle,NN,US,RandD,S7,100000,90,100,20,2016,6000
Accenture,LM,Germany,RandD,NULL,125000,85,210,20,2016,4000
Accenture,AB,France,administration,S1,100000,91,150,15,2017,9000
Oracle,NN,Australia,consulting,S1,200000,72,150,40,2022,8000
Accenture,LM,UK,testing,S3,150000,81,270,30,2021,9000
Wipro,XX,US,administration,S1,175000,86,180,15,2019,10000
Infosys,PQ,Germany,consulting,S5,100000,78,210,50,2016,10000
Genpact,LM,US,HR,S4,125000,81,150,30,2020,4000
HCL,NULL,Australia,RandD,S1,175000,86,120,20,2016,4000
Wipro,NULL,France,ITandInfrastructure,S4,165000,86,100,40,2020,5000
Infosys,PQ,UK,consulting,S6,100000,100,150,45,2017,7000
Capgemini,NULL,UK,Finance,S5,150000,88,120,50,2019,10000
Accenture,NULL,US,HR,S5,200000,70,150,15,2017,10000
Zogho,AB,UAE,NULL,S2,200000,85,100,25,2020,8000
TATA,XY,Germany,HR,S7,150000,82,120,45,2020,3000
HCL,XY,Australia,administration,S4,175000,83,180,35,2017,5000
IBM,NULL,India,HR,S7,165000,97,120,15,2022,7000
Wipro,PQ,Canada,HR,S4,100000,98,270,45,2022,5000
Genpact,NULL,Japan,HR,S5,165000,97,135,20,2018,5000
Oracle,BC,Germany,consulting,S3,200000,98,180,20,2022,8000
TATA,NULL,UK,ITandInfrastructure,S3,100000,89,210,20,2019,8000
Infosys,XX,Australia,HR,S2,115000,74,210,50,2019,5000
IBM,XX,UK,ITandInfrastructure,S4,165000,73,135,35,2017,9000
Wipro,PQ,UAE,HR,S1,115000,70,270,20,2021,7000
Wipro,BC,UK,HR,S1,150000,77,150,45,2019,10000
Genpact,NULL,Germany,RandD,NULL,175000,89,210,30,2017,6000
Zogho,PQ,UK,RandD,S5,115000,92,150,20,2022,5000
TATA,XY,Canada,HR,NULL,165000,92,135,20,2017,9000
Genpact,NN,UAE,NULL,S3,115000,91,210,15,2017,7000
Accenture,BC,UK,HR,S5,100000,70,100,30,2019,9000
HCL,XY,UAE,consulting,NULL,125000,74,135,35,2017,4000
